FILE_TYPE,DISCHARGE_MONTH,PREV_YR_AVG,#_RECDS_EXPECTED_(TARGET),#_RECDS_LOADED,SHORTAGE,PCT_OF_PREVYRAVG_SUBMTD_,EXCEPTION_ON_FILE_W/SPARCS,EXTENSION_GRANTED,FILE_LAST_SUBMTD,PFI,AUDIT_YEAR
AS,January,20,16,12,4,0.6,YES,,2021   APR,000812,2021
AS,February,,15,12,3,0.6,YES,,2021   APR,000812,2021
AS,March,,16,13,3,0.65,YES,,2021   MAY,000812,2021
AS,April,,16,5,11,0.25,YES,,2021   JUN,000812,2021
AS,May,,16,17,,0.85,,,2021   JUL,000812,2021
AS,June,,16,18,,0.9,,,2021   AUG,000812,2021
AS,July,,16,11,5,0.55,YES,,2021   OCT,000812,2021
AS,August,,16,11,5,0.55,YES,,2021   OCT,000812,2021
AS,September,,16,13,3,0.65,YES,,2021   NOV,000812,2021
AS,October,,16,12,4,0.6,YES,,2021   DEC,000812,2021
AS,November,,16,15,1,0.75,YES,,2022   JAN,000812,2021
AS,December,,15,16,,0.8,,,2022   FEB,000812,2021
ED,January,571,456,448,8,0.78,YES,,2021   APR,000812,2021
ED,February,,428,432,,0.75,,,2021   MAY,000812,2021
ED,March,,456,477,,0.83,,,2021   MAY,000812,2021
ED,April,,456,524,,0.91,,,2021   JUN,000812,2021
ED,May,,456,517,,0.9,,,2021   JUL,000812,2021
ED,June,,456,637,,1.11,,,2021   NOV,000812,2021
ED,July,,456,718,,1.25,,,2021   NOV,000812,2021
ED,August,,456,678,,1.18,,,2021   NOV,000812,2021
ED,September,,456,747,,1.3,,,2021   NOV,000812,2021
ED,October,,456,773,,1.35,,,2021   DEC,000812,2021
ED,November,,456,716,,1.25,,,2022   JUL,000812,2021
ED,December,,428,736,,1.28,,,2022   FEB,000812,2021
IP,January,63,50,40,10,0.63,YES,,2021   MAR,000812,2021
IP,February,,47,27,20,0.42,YES,,2021   APR,000812,2021
IP,March,,50,57,,0.9,,,2021   MAY,000812,2021
IP,April,,50,49,1,0.77,YES,,2021   JUN,000812,2021
IP,May,,50,50,,0.79,,,2021   JUL,000812,2021
IP,June,,50,53,,0.84,,,2021   AUG,000812,2021
IP,July,,50,45,5,0.71,YES,,2021   SEP,000812,2021
IP,August,,50,60,,0.95,,,2021   OCT,000812,2021
IP,September,,50,31,19,0.49,YES,,2021   NOV,000812,2021
AS,January,1935,1548,"2,126",,1.09,,,2021   JUL,000001,2020
AS,February,,1451,"2,038",,1.05,,,2021   MAR,000001,2020
AS,March,,1548,"1,728",,0.89,,,2023   FEB,000001,2020
AS,April,,1548,864,684,0.44,YES,,2021   APR,000001,2020
AS,May,,1548,"1,179",369,0.6,YES,,2021   AUG,000001,2020
AS,June,,1548,"2,014",,1.04,,,2022   NOV,000001,2020
AS,July,,1548,"2,230",,1.15,,,2022   NOV,000001,2020
AS,August,,1548,"2,184",,1.12,,,2022   APR,000001,2020
AS,September,,1548,"2,217",,1.14,,,2022   APR,000001,2020
AS,October,,1548,"2,012",,1.03,,,2022   NOV,000001,2020
AS,November,,1548,"1,885",,0.97,,,2022   JUL,000001,2020
AS,December,,1451,"1,844",,0.95,,,2022   MAR,000001,2020
ED,January,5105,4084,"5,581",,1.09,,,2022   MAY,000001,2020
ED,February,,3828,"5,181",,1.01,,,2022   AUG,000001,2020
ED,March,,4084,"5,484",,1.07,,,2023   FEB,000001,2020
ED,April,,4084,"2,449",1635,0.47,YES,,2021   OCT,000001,2020
ED,May,,4084,"3,054",1030,0.59,YES,,2022   NOV,000001,2020
ED,June,,4084,"3,634",450,0.71,YES,,2022   SEP,000001,2020
ED,July,,4084,"3,930",154,0.76,YES,,2022   JUL,000001,2020
ED,August,,4084,"4,149",,0.81,,,2022   NOV,000001,2020
ED,September,,4084,"3,666",418,0.71,YES,,2022   NOV,000001,2020
ED,October,,4084,"3,190",894,0.62,YES,,2023   FEB,000001,2020
ED,November,,4084,"3,072",1012,0.6,YES,,2022   APR,000001,2020
ED,December,,3828,"3,542",286,0.69,YES,,2022   SEP,000001,2020
IP,January,3354,2683,"3,700",,1.1,,,2022   JUN,000001,2020
IP,February,,2515,"3,451",,1.02,,,2021   DEC,000001,2020
IP,March,,2683,"3,070",,0.91,,,2022   JUN,000001,2020
IP,April,,2683,"2,130",553,0.63,YES,,2021   DEC,000001,2020
IP,May,,2683,"2,892",,0.86,,,2021   SEP,000001,2020
IP,June,,2683,"3,179",,0.94,,,2021   DEC,000001,2020
IP,July,,2683,"3,331",,0.99,,,2021   NOV,000001,2020
IP,August,,2683,"3,278",,0.97,,,2022   SEP,000001,2020
IP,September,,2683,"3,192",,0.95,,,2022   NOV,000001,2020
AS,January,27,21,22,,0.81,,,2023   MAR,000165,2023
AS,February,,20,19,1,0.7,NO,,2023   MAR,000165,2023
AS,January,28,22,0,22,0.0,NO,,,000989,2023
AS,February,,21,0,21,0.0,NO,,,000989,2023
AS,January,204,163,96,67,0.47,NO,,2023   FEB,010078,2023
AS,February,,153,60,93,0.29,NO,,2023   FEB,010078,2023
AS,January,407,325,438,,1.07,,,2022   APR,010102,2022
AS,February,,305,392,,0.96,,,2022   APR,010102,2022
AS,March,,325,490,,1.2,,,2022   APR,010102,2022
AS,April,,325,0,325,0.0,NO,,,010102,2022
AS,May,,325,0,325,0.0,NO,,,010102,2022
AS,June,,325,0,325,0.0,NO,,,010102,2022
AS,July,,325,0,325,0.0,NO,,,010102,2022
AS,August,,325,0,325,0.0,NO,,,010102,2022
AS,September,,325,0,325,0.0,NO,,,010102,2022
AS,October,,325,0,325,0.0,NO,,,010102,2022
AS,November,,325,0,325,0.0,NO,,,010102,2022
AS,December,,305,0,305,0.0,NO,,,010102,2022
IP,January,103,82,0,82,0.0,YES,,,000102,2020
IP,February,,77,0,77,0.0,YES,,,000102,2020
IP,March,,82,0,82,0.0,YES,,,000102,2020
IP,April,,82,0,82,0.0,YES,,,000102,2020
IP,May,,82,0,82,0.0,YES,,,000102,2020
IP,June,,82,0,82,0.0,YES,,,000102,2020
IP,July,,82,0,82,0.0,YES,,,000102,2020
IP,August,,82,0,82,0.0,YES,,,000102,2020
IP,September,,82,0,82,0.0,YES,,,000102,2020
IP,October,,82,0,82,0.0,YES,,,000102,2020
IP,November,,82,0,82,0.0,YES,,,000102,2020
IP,December,,77,0,77,0.0,YES,,,000102,2020
OP,January,1525,1220,"1,606",,1.05,,,2021   MAR,000102,2020
OP,February,,1143,"1,419",,0.93,,,2021   MAR,000102,2020
OP,March,,1220,"1,496",,0.98,,,2021   MAR,000102,2020
OP,April,,1220,"1,678",,1.1,,,2021   MAR,000102,2020
OP,May,,1220,"1,557",,1.02,,,2021   MAR,000102,2020
OP,June,,1220,"1,684",,1.1,,,2021   FEB,000102,2020
OP,July,,1220,"1,701",,1.11,,,2021   FEB,000102,2020
OP,August,,1220,"1,496",,0.98,,,2021   FEB,000102,2020
OP,September,,1220,"1,672",,1.09,,,2021   FEB,000102,2020
OP,October,,1220,"1,616",,1.05,,,2021   FEB,000102,2020
OP,November,,1220,"1,466",,0.96,,,2021   JAN,000102,2020
OP,December,,1143,"1,406",,0.92,,,2021   MAR,000102,2020
AS,January,1184,947,"1,239",,1.04,,,2021   MAY,001740,2020
AS,February,,888,"1,196",,1.01,,,2020   NOV,001740,2020
AS,March,,947,787,160,0.66,YES,,2021   MAR,001740,2020
AS,April,,947,130,817,0.1,YES,,2020   NOV,001740,2020
AS,May,,947,238,709,0.2,YES,,2020   NOV,001740,2020
AS,June,,947,781,166,0.65,YES,,2021   MAR,001740,2020
AS,July,,947,"1,201",,1.01,,,2020   NOV,001740,2020
AS,August,,947,"1,208",,1.02,,,2021   MAR,001740,2020
AS,September,,947,"1,188",,1.0,,,2021   MAR,001740,2020
AS,October,,947,"1,323",,1.11,,,2021   MAR,001740,2020
AS,November,,947,"1,198",,1.01,,,2021   MAR,001740,2020
AS,December,,888,"1,053",,0.88,,,2021   MAR,001740,2020
ED,January,6112,4889,"6,963",,1.13,,,2021   MAY,001740,2020
ED,February,,4584,"5,820",,0.95,,,2021   JUL,001740,2020
ED,March,,4889,"5,144",,0.84,,,2021   MAY,001740,2020
ED,April,,4889,"2,339",2550,0.38,YES,,2020   NOV,001740,2020
ED,May,,4889,"2,687",2202,0.43,YES,,2021   MAY,001740,2020
ED,June,,4889,"3,420",1469,0.55,YES,,2021   MAR,001740,2020
ED,July,,4889,"4,251",638,0.69,YES,,2020   NOV,001740,2020
ED,August,,4889,"4,285",604,0.7,YES,,2021   MAY,001740,2020
ED,September,,4889,"4,268",621,0.69,YES,,2021   OCT,001740,2020
ED,October,,4889,"4,218",671,0.69,YES,,2021   MAY,001740,2020
ED,November,,4889,"3,901",988,0.63,YES,,2021   MAR,001740,2020
ED,December,,4584,"3,822",762,0.62,YES,,2021   MAR,001740,2020
IP,January,2675,2140,"2,854",,1.06,,,2021   MAY,001740,2020
IP,February,,2006,"2,569",,0.96,,,2020   NOV,001740,2020
IP,March,,2140,"2,335",,0.87,,,2021   MAY,001740,2020
IP,April,,2140,"1,863",277,0.69,YES,,2020   NOV,001740,2020
IP,May,,2140,"1,810",330,0.67,YES,,2021   MAY,001740,2020
IP,June,,2140,"2,072",68,0.77,YES,,2021   JUL,001740,2020
IP,July,,2140,"2,236",,0.83,,,2021   NOV,001740,2020
IP,August,,2140,"2,267",,0.84,,,2021   JUL,001740,2020
IP,September,,2140,"2,250",,0.84,,,2021   MAR,001740,2020
AS,January,331,264,315,,0.95,,,2022   DEC,000583,2021
AS,February,,248,302,,0.91,,,2022   DEC,000583,2021
AS,March,,264,346,,1.04,,,2022   FEB,000583,2021
AS,April,,264,323,,0.97,,,2021   SEP,000583,2021
AS,May,,264,311,,0.93,,,2021   OCT,000583,2021
AS,June,,264,327,,0.98,,,2021   OCT,000583,2021
AS,July,,264,346,,1.04,,,2022   JAN,000583,2021
AS,August,,264,345,,1.04,,,2022   MAY,000583,2021
AS,September,,264,334,,1.0,,,2022   DEC,000583,2021
AS,October,,264,359,,1.08,,,2021   DEC,000583,2021
AS,November,,264,315,,0.95,,,2022   FEB,000583,2021
AS,December,,248,196,52,0.59,YES,,2022   MAR,000583,2021
ED,January,1143,914,"1,081",,0.94,,,2022   JUL,000583,2021
ED,February,,857,964,,0.84,,,2022   NOV,000583,2021
ED,March,,914,"1,140",,0.99,,,2022   JUL,000583,2021
ED,April,,914,"1,312",,1.14,,,2022   JUL,000583,2021
ED,May,,914,"1,352",,1.18,,,2022   JUL,000583,2021
ED,June,,914,"1,370",,1.19,,,2022   JUL,000583,2021
ED,July,,914,"1,475",,1.29,,,2022   AUG,000583,2021
ED,August,,914,"1,506",,1.31,,,2022   JAN,000583,2021
ED,September,,914,"1,387",,1.21,,,2022   SEP,000583,2021
ED,October,,914,"1,407",,1.23,,,2022   NOV,000583,2021
ED,November,,914,"1,307",,1.14,,,2022   OCT,000583,2021
ED,December,,857,"1,078",,0.94,,,2022   OCT,000583,2021
IP,January,344,275,338,,0.98,,,2021   NOV,000583,2021
IP,February,,258,321,,0.93,,,2021   NOV,000583,2021
IP,March,,275,356,,1.03,,,2021   NOV,000583,2021
IP,April,,275,350,,1.01,,,2022   JUL,000583,2021
IP,May,,275,359,,1.04,,,2022   FEB,000583,2021
IP,June,,275,367,,1.06,,,2022   NOV,000583,2021
IP,July,,275,375,,1.09,,,2022   JUL,000583,2021
IP,August,,275,384,,1.11,,,2022   JAN,000583,2021
IP,September,,275,365,,1.06,,,2022   MAY,000583,2021
AS,January,2201,1760,"2,127",,0.96,,,2023   MAR,000413,2022
AS,February,,1650,"2,299",,1.04,,,2023   MAR,000413,2022
AS,March,,1760,"2,823",,1.28,,,2023   MAR,000413,2022
AS,April,,1760,"2,373",,1.07,,,2023   MAR,000413,2022
AS,May,,1760,"2,388",,1.08,,,2023   MAR,000413,2022
AS,June,,1760,"2,487",,1.12,,,2023   MAR,000413,2022
AS,July,,1760,"2,207",,1.0,,,2023   FEB,000413,2022
AS,August,,1760,"2,718",,1.23,,,2023   MAR,000413,2022
AS,September,,1760,"2,526",,1.14,,,2023   MAR,000413,2022
AS,October,,1760,"2,553",,1.15,,,2023   MAR,000413,2022
AS,November,,1760,"2,542",,1.15,,,2023   MAR,000413,2022
AS,December,,1650,"2,492",,1.13,,,2023   MAR,000413,2022
ED,January,6400,5120,"5,723",,0.89,,,2023   MAR,000413,2022
ED,February,,4800,"5,264",,0.82,,,2023   MAR,000413,2022
ED,March,,5120,"6,478",,1.01,,,2023   MAR,000413,2022
ED,April,,5120,"6,587",,1.02,,,2023   MAR,000413,2022
ED,May,,5120,"6,672",,1.04,,,2023   MAR,000413,2022
ED,June,,5120,"6,063",,0.94,,,2023   MAR,000413,2022
ED,July,,5120,"5,748",,0.89,,,2023   MAR,000413,2022
ED,August,,5120,"6,058",,0.94,,,2023   MAR,000413,2022
ED,September,,5120,"6,600",,1.03,,,2023   MAR,000413,2022
ED,October,,5120,"6,881",,1.07,,,2023   MAR,000413,2022
ED,November,,5120,"7,068",,1.1,,,2023   MAR,000413,2022
ED,December,,4800,"6,626",,1.03,,,2023   MAR,000413,2022
IP,January,3473,2778,"3,139",,0.9,,,2023   MAR,000413,2022
IP,February,,2604,"2,886",,0.83,,,2023   MAR,000413,2022
IP,March,,2778,"3,517",,1.01,,,2023   MAR,000413,2022
IP,April,,2778,"3,218",,0.92,,,2023   MAR,000413,2022
IP,May,,2778,"3,365",,0.96,,,2023   MAR,000413,2022
IP,June,,2778,"3,301",,0.95,,,2023   MAR,000413,2022
IP,July,,2778,"3,366",,0.96,,,2023   MAR,000413,2022
IP,August,,2778,"3,462",,0.99,,,2023   MAR,000413,2022
IP,September,,2778,"3,291",,0.94,,,2023   MAR,000413,2022
AS,January,117,93,105,,0.89,,,2022   APR,000280,2022
AS,February,,87,104,,0.88,,,2022   AUG,000280,2022
AS,March,,93,148,,1.26,,,2022   JUN,000280,2022
AS,April,,93,121,,1.03,,,2022   JUL,000280,2022
AS,May,,93,125,,1.06,,,2022   OCT,000280,2022
AS,June,,93,146,,1.24,,,2022   OCT,000280,2022
AS,July,,93,135,,1.15,,,2022   OCT,000280,2022
AS,August,,93,154,,1.31,,,2022   OCT,000280,2022
AS,September,,93,147,,1.25,,,2022   DEC,000280,2022
AS,October,,93,130,,1.11,,,2022   DEC,000280,2022
AS,November,,93,131,,1.11,,,2023   JAN,000280,2022
AS,December,,87,159,,1.35,,,2023   MAR,000280,2022
ED,January,770,616,788,,1.02,,,2022   APR,000280,2022
ED,February,,577,612,,0.79,,,2022   AUG,000280,2022
ED,March,,616,744,,0.96,,,2022   AUG,000280,2022
ED,April,,616,830,,1.07,,,2022   AUG,000280,2022
ED,May,,616,863,,1.12,,,2022   OCT,000280,2022
ED,June,,616,825,,1.07,,,2022   OCT,000280,2022
ED,July,,616,907,,1.17,,,2022   OCT,000280,2022
ED,August,,616,870,,1.12,,,2022   OCT,000280,2022
ED,September,,616,844,,1.09,,,2022   DEC,000280,2022
ED,October,,616,916,,1.18,,,2022   DEC,000280,2022
ED,November,,616,933,,1.21,,,2023   JAN,000280,2022
ED,December,,577,865,,1.12,,,2023   MAR,000280,2022
IP,January,70,56,71,,1.01,,,2022   APR,000280,2022
IP,February,,52,56,,0.8,,,2022   JUN,000280,2022
IP,March,,56,54,2,0.77,YES,,2022   JUN,000280,2022
IP,April,,56,70,,1.0,,,2022   JUN,000280,2022
IP,May,,56,72,,1.02,,,2022   JUL,000280,2022
IP,June,,56,52,4,0.74,YES,,2022   OCT,000280,2022
IP,July,,56,55,1,0.78,YES,,2022   OCT,000280,2022
IP,August,,56,58,,0.82,,,2022   OCT,000280,2022
IP,September,,56,67,,0.95,,,2022   OCT,000280,2022
AS,January,1297,1037,"1,234",,0.95,,,2022   FEB,006664,2022
AS,February,,972,"1,206",,0.92,,,2022   AUG,006664,2022
AS,March,,1037,"1,495",,1.15,,,2022   AUG,006664,2022
AS,April,,1037,"1,363",,1.05,,,2022   AUG,006664,2022
AS,May,,1037,"1,334",,1.02,,,2022   AUG,006664,2022
AS,June,,1037,"1,526",,1.17,,,2022   AUG,006664,2022
AS,July,,1037,"1,141",,0.87,,,2022   AUG,006664,2022
AS,August,,1037,0,1037,0.0,NO,,,006664,2022
AS,September,,1037,0,1037,0.0,NO,,,006664,2022
AS,October,,1037,0,1037,0.0,NO,,,006664,2022
AS,November,,1037,0,1037,0.0,NO,,,006664,2022
AS,December,,972,0,972,0.0,NO,,,006664,2022
AS,January,319,255,0,255,0.0,NO,,,007617,2023
AS,February,,239,0,239,0.0,NO,,,007617,2023
AS,January,55,44,44,,0.8,,,2023   FEB,009358,2023
AS,February,,41,0,41,0.0,NO,,,009358,2023
AS,January,290,232,241,,0.83,,,2022   JUN,009996,2020
AS,February,,217,214,3,0.73,NO,,2022   JUN,009996,2020
AS,March,,232,149,83,0.51,NO,,2022   JUN,009996,2020
AS,April,,232,0,232,0.0,NO,,,009996,2020
AS,May,,232,0,232,0.0,NO,,,009996,2020
AS,June,,232,0,232,0.0,NO,,,009996,2020
AS,July,,232,63,169,0.21,NO,,2022   JUN,009996,2020
AS,August,,232,94,138,0.32,NO,,2022   JUN,009996,2020
AS,September,,232,101,131,0.34,NO,,2022   JUN,009996,2020
AS,October,,232,122,110,0.42,NO,,2022   JUN,009996,2020
AS,November,,232,105,127,0.36,NO,,2022   JUN,009996,2020
AS,December,,217,13,204,0.04,NO,,2022   JUN,009996,2020
AS,January,1557,1245,"1,471",,0.94,,,2019   OCT,009379,2019
AS,February,,1167,"1,391",,0.89,,,2019   OCT,009379,2019
AS,March,,1245,"1,553",,0.99,,,2019   OCT,009379,2019
AS,April,,1245,"1,791",,1.15,,,2019   OCT,009379,2019
AS,May,,1245,"1,625",,1.04,,,2019   NOV,009379,2019
AS,June,,1245,"1,576",,1.01,,,2019   NOV,009379,2019
AS,July,,1245,"1,547",,0.99,,,2019   NOV,009379,2019
AS,August,,1245,"1,382",,0.88,,,2019   NOV,009379,2019
AS,September,,1245,"1,386",,0.89,,,2019   NOV,009379,2019
AS,October,,1245,"1,627",,1.04,,,2019   NOV,009379,2019
AS,November,,1245,"1,389",,0.89,,,2019   DEC,009379,2019
AS,December,,1167,"1,160",7,0.74,YES,,2023   JAN,009379,2019
AS,January,1219,975,"1,227",,1.0,,,2020   FEB,009118,2020
AS,February,,914,"1,266",,1.03,,,2020   MAR,009118,2020
AS,March,,975,630,345,0.51,YES,,2020   APR,009118,2020
AS,April,,975,123,852,0.1,YES,,2020   MAY,009118,2020
AS,May,,975,259,716,0.21,YES,,2020   JUN,009118,2020
AS,June,,975,478,497,0.39,YES,,2020   JUL,009118,2020
AS,July,,975,"1,027",,0.84,,,2020   AUG,009118,2020
AS,August,,975,"1,231",,1.0,,,2020   OCT,009118,2020
AS,September,,975,"1,281",,1.05,,,2020   OCT,009118,2020
AS,October,,975,0,975,0.0,YES,,,009118,2020
AS,November,,975,"1,074",,0.88,,,2021   FEB,009118,2020
AS,December,,914,"1,214",,0.99,,,2021   FEB,009118,2020
AS,January,334,267,327,,0.97,,,2019   OCT,006109,2019
AS,February,,250,215,35,0.64,YES,,2019   OCT,006109,2019
AS,March,,267,181,86,0.54,YES,,2019   OCT,006109,2019
AS,April,,267,451,,1.35,,,2019   OCT,006109,2019
AS,May,,267,412,,1.23,,,2019   NOV,006109,2019
AS,June,,267,354,,1.05,,,2019   NOV,006109,2019
AS,July,,267,282,,0.84,,,2019   NOV,006109,2019
AS,August,,267,443,,1.32,,,2019   NOV,006109,2019
AS,September,,267,372,,1.11,,,2019   NOV,006109,2019
AS,October,,267,463,,1.38,,,2019   NOV,006109,2019
AS,November,,267,383,,1.14,,,2020   JAN,006109,2019
AS,December,,250,368,,1.1,,,2020   JAN,006109,2019
AS,January,357,285,377,,1.05,,,2020   APR,004295,2020
AS,February,,267,399,,1.11,,,2020   MAY,004295,2020
AS,March,,285,217,68,0.6,YES,,2021   JAN,004295,2020
AS,April,,285,13,272,0.03,YES,,2021   JAN,004295,2020
AS,May,,285,32,253,0.08,YES,,2021   JAN,004295,2020
AS,June,,285,188,97,0.52,YES,,2021   MAR,004295,2020
AS,July,,285,296,,0.82,,,2021   MAR,004295,2020
AS,August,,285,337,,0.94,,,2020   NOV,004295,2020
AS,September,,285,327,,0.91,,,2020   NOV,004295,2020
AS,October,,285,430,,1.2,,,2021   JAN,004295,2020
AS,November,,285,429,,1.2,,,2021   MAR,004295,2020
AS,December,,267,419,,1.17,,,2021   MAR,004295,2020
IP,January,362,289,251,38,0.69,YES,,2022   AUG,001047,2021
IP,February,,271,252,19,0.69,YES,,2022   AUG,001047,2021
IP,March,,289,322,,0.88,,,2022   AUG,001047,2021
IP,April,,289,323,,0.89,,,2022   AUG,001047,2021
IP,May,,289,321,,0.88,,,2022   AUG,001047,2021
IP,June,,289,358,,0.98,,,2022   AUG,001047,2021
IP,July,,289,330,,0.91,,,2022   AUG,001047,2021
IP,August,,289,333,,0.91,,,2022   AUG,001047,2021
IP,September,,289,314,,0.86,,,2022   AUG,001047,2021
IP,October,,289,324,,0.89,,,2022   AUG,001047,2021
IP,November,,289,323,,0.89,,,2022   AUG,001047,2021
IP,December,,271,337,,0.93,,,2022   AUG,001047,2021
OP,January,1253,1002,"2,212",,1.76,,,2022   AUG,001047,2021
OP,February,,939,"1,744",,1.39,,,2022   DEC,001047,2021
OP,March,,1002,"1,267",,1.01,,,2022   AUG,001047,2021
OP,April,,1002,"1,168",,0.93,,,2022   AUG,001047,2021
OP,May,,1002,"1,064",,0.84,,,2022   AUG,001047,2021
OP,June,,1002,"1,079",,0.86,,,2022   AUG,001047,2021
OP,July,,1002,"1,033",,0.82,,,2022   AUG,001047,2021
OP,August,,1002,970,32,0.77,YES,,2022   AUG,001047,2021
OP,September,,1002,"1,005",,0.8,,,2022   DEC,001047,2021
OP,October,,1002,"1,091",,0.87,,,2022   OCT,001047,2021
OP,November,,1002,"1,233",,0.98,,,2022   OCT,001047,2021
OP,December,,939,"1,166",,0.93,,,2022   DEC,001047,2021
AS,January,0,1,0,1,1.0,YES,,,013983,2020
AS,February,,1,0,1,1.0,YES,,,013983,2020
AS,March,,1,0,1,1.0,YES,,,013983,2020
AS,April,,1,0,1,1.0,YES,,,013983,2020
AS,May,,1,0,1,1.0,YES,,,013983,2020
AS,June,,1,0,1,1.0,YES,,,013983,2020
AS,July,,1,0,1,1.0,YES,,,013983,2020
AS,August,,1,0,1,1.0,YES,,,013983,2020
AS,September,,1,0,1,1.0,YES,,,013983,2020
AS,October,,1,0,1,1.0,YES,,,013983,2020
AS,November,,1,0,1,1.0,YES,,,013983,2020
AS,December,,1,0,1,1.0,YES,,,013983,2020
AS,January,117,93,134,,1.14,,,2022   JAN,006343,2021
AS,February,,87,99,,0.84,,,2021   APR,006343,2021
AS,March,,93,139,,1.18,,,2021   JUN,006343,2021
AS,April,,93,123,,1.05,,,2021   SEP,006343,2021
AS,May,,93,116,,0.99,,,2022   MAR,006343,2021
AS,June,,93,112,,0.95,,,2022   JAN,006343,2021
AS,July,,93,122,,1.04,,,2022   JAN,006343,2021
AS,August,,93,96,,0.82,,,2021   DEC,006343,2021
AS,September,,93,136,,1.16,,,2022   MAR,006343,2021
AS,October,,93,157,,1.34,,,2022   MAR,006343,2021
AS,November,,93,136,,1.16,,,2022   FEB,006343,2021
AS,December,,87,108,,0.92,,,2022   APR,006343,2021
OP,January,1462,1169,"1,729",,1.18,,,2022   MAR,006343,2021
OP,February,,1096,"1,357",,0.92,,,2022   JAN,006343,2021
OP,March,,1169,"1,783",,1.21,,,2022   JAN,006343,2021
OP,April,,1169,"1,764",,1.2,,,2022   DEC,006343,2021
OP,May,,1169,"1,686",,1.15,,,2022   MAR,006343,2021
OP,June,,1169,"1,652",,1.12,,,2022   JAN,006343,2021
OP,July,,1169,"1,692",,1.15,,,2022   MAR,006343,2021
OP,August,,1169,"1,799",,1.23,,,2022   MAR,006343,2021
OP,September,,1169,"1,531",,1.04,,,2022   APR,006343,2021
OP,October,,1169,"1,798",,1.22,,,2022   MAR,006343,2021
OP,November,,1169,"1,768",,1.2,,,2022   MAR,006343,2021
OP,December,,1096,"1,598",,1.09,,,2022   APR,006343,2021
ED,January,352,281,386,,1.09,,,2020   APR,001164,2020
ED,February,,264,345,,0.98,,,2020   MAY,001164,2020
ED,March,,281,342,,0.97,,,2020   JUN,001164,2020
ED,April,,281,183,98,0.51,YES,,2020   JUN,001164,2020
ED,May,,281,342,,0.97,,,2020   JUL,001164,2020
ED,June,,281,334,,0.94,,,2020   AUG,001164,2020
ED,July,,281,284,,0.8,,,2021   APR,001164,2020
ED,August,,281,287,,0.81,,,2021   MAR,001164,2020
ED,September,,281,290,,0.82,,,2020   NOV,001164,2020
ED,October,,281,312,,0.88,,,2021   JAN,001164,2020
ED,November,,281,332,,0.94,,,2021   FEB,001164,2020
ED,December,,264,340,,0.96,,,2021   MAR,001164,2020
IP,January,402,321,404,,1.0,,,2020   APR,001164,2020
IP,February,,301,428,,1.06,,,2020   MAY,001164,2020
IP,March,,321,404,,1.0,,,2020   JUN,001164,2020
IP,April,,321,269,52,0.66,YES,,2020   JUN,001164,2020
IP,May,,321,294,27,0.73,YES,,2020   JUL,001164,2020
IP,June,,321,367,,0.91,,,2020   SEP,001164,2020
IP,July,,321,357,,0.88,,,2020   SEP,001164,2020
IP,August,,321,336,,0.83,,,2020   DEC,001164,2020
IP,September,,321,327,,0.81,,,2020   DEC,001164,2020
IP,October,,321,370,,0.92,,,2021   JAN,001164,2020
IP,November,,321,328,,0.81,,,2021   JAN,001164,2020
IP,December,,301,355,,0.88,,,2021   APR,001164,2020
OP,January,3577,2861,"3,551",,0.99,,,2020   MAY,001164,2020
OP,February,,2682,"3,354",,0.93,,,2020   JUN,001164,2020
OP,March,,2861,"3,272",,0.91,,,2020   SEP,001164,2020
OP,April,,2861,"2,346",515,0.65,YES,,2020   SEP,001164,2020
OP,May,,2861,"2,630",231,0.73,YES,,2020   SEP,001164,2020
OP,June,,2861,"3,232",,0.9,,,2020   OCT,001164,2020
OP,July,,2861,"3,678",,1.02,,,2020   DEC,001164,2020
OP,August,,2861,"3,391",,0.94,,,2022   FEB,001164,2020
OP,September,,2861,"3,769",,1.05,,,2021   APR,001164,2020
AS,January,3996,3196,"3,419",,0.85,,,2023   FEB,001458,2022
AS,February,,2997,"3,761",,0.94,,,2023   FEB,001458,2022
AS,March,,3196,"4,455",,1.11,,,2023   JAN,001458,2022
AS,April,,3196,"3,925",,0.98,,,2022   DEC,001458,2022
AS,May,,3196,"3,866",,0.96,,,2022   DEC,001458,2022
AS,June,,3196,"3,770",,0.94,,,2023   FEB,001458,2022
AS,July,,3196,"3,320",,0.83,,,2022   DEC,001458,2022
AS,August,,3196,"4,068",,1.01,,,2023   JAN,001458,2022
AS,September,,3196,"3,707",,0.92,,,2022   DEC,001458,2022
AS,October,,3196,"3,853",,0.96,,,2023   FEB,001458,2022
AS,November,,3196,"3,745",,0.93,,,2023   JAN,001458,2022
AS,December,,2997,"3,303",,0.82,,,2023   MAR,001458,2022
ED,January,4644,3715,"4,308",,0.92,,,2022   OCT,001458,2022
ED,February,,3483,"3,956",,0.85,,,2022   OCT,001458,2022
ED,March,,3715,"5,003",,1.07,,,2022   NOV,001458,2022
ED,April,,3715,"4,946",,1.06,,,2022   NOV,001458,2022
ED,May,,3715,"5,663",,1.21,,,2023   JAN,001458,2022
ED,June,,3715,"5,442",,1.17,,,2023   FEB,001458,2022
ED,July,,3715,"5,472",,1.17,,,2022   NOV,001458,2022
ED,August,,3715,"5,394",,1.16,,,2023   FEB,001458,2022
ED,September,,3715,"5,150",,1.1,,,2023   FEB,001458,2022
ED,October,,3715,"5,671",,1.22,,,2023   JAN,001458,2022
